COURSE_ID                ROW_STATUS    
 200920.CRJC200.04        0             
 200920.CRJC200.05        0             
 200920.CRJC200.E1        0             
 200920.CRJC200.E2        0             
 200920.CRJC201.01        0             
 200920.CRJC201.02        0             
 200920.CRJC201.45        0             
 200920.CRJC202.01        0             
 200920.CRJC203.45        0             
 200920.CRJC212.01        0             
 200920.CRJC212.02        0             
 200920.CRJC215.01        0             
 200920.CRJC215.02        0             
 200920.CRJC215.03        0             
 200920.CRJC220.01        2             
 200920.CRJC220.02        0             
 200920.CRJC220.46        0             
 200920.CRJC230.01        0             
 200920.CRJC243.01        0             
 200920.CRJC300.01        0             
 200920.CRJC300.D1        0             
 200920.CRJC302.01        0             
 200920.CRJC302.D1        0             
 200920.CRJC305.D1        0             
 200920.CRJC311.46        0             
 200920.CRJC313.01        0             
 200920.CRJC313.D1        0             
 200920.CRJC333.60        0             
 200920.CRJC340.01        0             
 200920.CRJC340.D1        0             
 200920.CRJC351.50        0             
 200920.CRJC361.45        0             
 200920.CRJC370.01        0             
 200920.CRJC370.02        0             
 200920.CRJC411.01        0             
 200920.CRJC411.02        0             
 200920.CRJC411.D1        0             
 200920.CRJC411.D2        0             
 200920.CRJC420.01        0             
 200920.CRJC420.02        0             
 200920.CRJC420.03        0             
 200920.CRJC420.ATAYLO14  0             
 200920.CRJC420.CE        0             
 200920.CRJC429.01        0             
 200920.CRJC430.01        0             
 200920.CRJC450.01        0             
 200920.CRJC450.02        0             
 200920.CRJC450.03        2             
 200920.CRJC450.ATAYLO14  0             
 200920.CRJC450.CE        2             
 200920.CRJC450.D1        0             
 200920.CRJC500.D1        0             
 200920.CRJC520.D1        0             
 200920.CRJC530.01        0             
 200920.CRJC540.D1        0             
 200920.CRJC610.01        0             
 200920.CRJC670.D1        0             
 200920.CRJC670.D2        0             
 200920.CRJC699.01        0             
 200920.CRJC699.D1        0             
 200920.CRJC899.01        0             
 200920.CSC100.01         0             
 200920.CSC100.02         0             
 200920.CSC100.03         0             
 200920.CSC100.04         0             
 200920.CSC100.05         0             
 200920.CSC100.06         0             
 200920.CSC100.07         0             
 200920.CSC100.08         0             
 200920.CSC100.09         0             
 200920.CSC100.10         0             
